broker,scenario,message_size,target_rate,duration_sec,sent,processed,errors,lost,produced_mps,processed_mps,avg_latency_ms,p95_latency_ms,max_latency_ms,degraded
rabbitmq,base,1024,2000,20,39882,39882,0,0,1994.1,1994.1,1525.290067778805,2763.846923828125,2834.388671875,False
rabbitmq,size,128,2000,20,39991,39991,0,0,1999.55,1999.55,234.11487700699453,477.61279296875,490.7373046875,False
rabbitmq,size,1024,2000,20,39963,39963,0,0,1998.15,1998.15,1210.7371636085156,2279.28125,2362.158935546875,False
rabbitmq,size,10240,2000,20,39975,39975,0,0,1998.75,1998.75,3161.304366632954,5169.326904296875,5216.11474609375,False
rabbitmq,size,102400,2000,20,36652,14296,0,22356,1832.6,714.8,13032.44184633841,19563.977783203125,19990.290771484375,True
rabbitmq,rate,1024,1000,20,20000,20000,0,0,1000.0,1000.0,1.3247784790039063,2.15576171875,8.516845703125,False
rabbitmq,rate,1024,5000,20,85051,45673,0,39378,4252.55,2283.65,11471.135208598607,16784.576171875,17027.0966796875,True
rabbitmq,rate,1024,10000,20,132582,55662,0,76920,6629.1,2783.1,11970.359011982164,19106.8271484375,19578.403076171875,True
redis,base,1024,2000,20,39998,39998,0,0,1999.9,1999.9,0.20603677888972574,0.25830078125,2.05224609375,False
redis,size,128,2000,20,40001,40001,0,0,2000.05,2000.05,0.21316450120973537,0.25390625,1.2978515625,False
redis,size,1024,2000,20,39995,39995,0,0,1999.75,1999.75,0.20288685377664395,0.25146484375,1.922607421875,False
redis,size,10240,2000,20,39994,39994,0,0,1999.7,1999.7,0.24109317081155923,0.2724609375,1.698974609375,False
redis,size,102400,2000,20,30170,30170,0,0,1508.5,1508.5,0.7522164440565959,1.02001953125,2.4052734375,True
redis,rate,1024,1000,20,20001,20001,0,0,1000.05,1000.05,0.25870144481057195,0.35302734375,1.0380859375,False
redis,rate,1024,5000,20,92210,92210,0,0,4610.5,4610.5,0.18750298655921266,0.290283203125,2.66015625,True
redis,rate,1024,10000,20,121816,121816,0,0,6090.8,6090.8,132.17711778844796,221.946044921875,234.23486328125,True
